quality_tag,telemetry_tag,best_lag_min,correlation,corr_10m,corr_30m,corr_60m,corr_90m,corr_120m
Mg.Sulfur,T6_hydro,120,-0.0311,-0.0256,-0.0261,-0.0273,-0.0291,-0.0311
Mg.Sulfur,T11_hydro,120,-0.0366,-0.0259,-0.0266,-0.0282,-0.0302,-0.0366
Mg.Sulfur,T23,120,-0.0392,-0.0319,-0.0331,-0.0352,-0.0373,-0.0392
Mg.Sulfur,P8,120,-0.0239,-0.0186,-0.0196,-0.0209,-0.0225,-0.0239
Mg.Sulfur,P24,10,-0.0008,-0.0008,-0.0008,-0.0008,-0.0007,-0.0007
Mg.Sulfur,F26_hydro,120,-0.0223,-0.0205,-0.0209,-0.0215,-0.0221,-0.0223
Mg.Sulfur,W7,10,-0.0068,-0.0068,-0.0068,-0.0068,-0.0067,-0.0067
Mg.Sulfur,W10,30,-0.04,-0.0398,-0.04,-0.0398,-0.0395,-0.0393
Mg.Sulfur,T55,10,0.0113,0.0113,0.0113,0.0113,0.0112,0.0113
Mg.Sulfur,T1,120,0.0008,0.0006,0.0006,0.0006,0.0007,0.0008
Mg.Sulfur,T6_avt,10,0.0111,0.0111,0.0111,0.011,0.0111,0.011
Mg.Sulfur,F7,30,-0.0041,-0.004,-0.0041,-0.0039,-0.0037,-0.0037
Mg.Sulfur,F8,10,-0.0079,-0.0079,-0.0079,-0.0078,-0.0077,-0.0076
Mg.Sulfur,F9_avt,120,0.0032,0.0028,0.0027,0.0027,0.0029,0.0032
Mg.Sulfur,F30,60,-0.0053,-0.0051,-0.005,-0.0053,-0.0051,-0.0051
Mg.Sulfur,F32,90,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077
Mg.Sulfur,F34,30,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.0072
Mg.Sulfur,F56,90,0.0051,0.0038,0.0043,0.0049,0.0051,0.0043
Mg.Sulfur,F57,90,0.0052,0.0038,0.0043,0.0051,0.0052,0.0044
Mg.Sulfur,F59,120,-0.0054,-0.0047,-0.0052,-0.0052,-0.0053,-0.0054
Mass.Sulfur,T6_hydro,120,0.2933,0.2766,0.2754,0.2797,0.288,0.2933
Mass.Sulfur,T11_hydro,120,0.2969,0.2842,0.2865,0.291,0.2925,0.2969
Mass.Sulfur,T23,30,0.3333,0.3208,0.3333,0.3284,0.3099,0.3031
Mass.Sulfur,P8,10,0.1724,0.1724,0.1557,0.1269,0.1271,0.1516
Mass.Sulfur,P24,60,0.1713,0.0917,0.1373,0.1713,0.1612,0.1338
Mass.Sulfur,F26_hydro,120,0.2843,0.2612,0.268,0.2754,0.2802,0.2843
Mass.Sulfur,W7,30,0.1921,0.1895,0.1921,0.1914,0.1833,0.1746
Mass.Sulfur,W10,30,-0.039,-0.021,-0.039,-0.0368,-0.0102,0.031
Mass.Sulfur,T55,30,0.4941,0.485,0.4941,0.4223,0.2084,0.2243
Mass.Sulfur,T1,60,-0.2703,-0.1553,-0.203,-0.2703,-0.1626,0.0121
Mass.Sulfur,T6_avt,60,0.4041,0.372,0.392,0.4041,0.3429,0.2036
Mass.Sulfur,F7,120,0.2289,0.2204,0.2204,0.2284,0.2288,0.2289
Mass.Sulfur,F8,120,0.0901,0.0437,0.0506,0.0568,0.0672,0.0901
Mass.Sulfur,F9_avt,120,0.0134,-0.0046,-0.0019,-0.0073,-0.0019,0.0134
Mass.Sulfur,F30,120,0.2464,0.1733,0.1876,0.2309,0.2447,0.2464
Mass.Sulfur,F32,10,0.1766,0.1766,0.1659,0.1621,0.1604,0.1655
Mass.Sulfur,F34,60,0.3472,0.3407,0.3404,0.3472,0.3472,0.3343
Mass.Sulfur,F56,10,0.2624,0.2624,0.2574,0.2515,0.2466,0.1922
Mass.Sulfur,F57,10,0.2555,0.2555,0.2512,0.2466,0.2414,0.1828
Mass.Sulfur,F59,90,0.2924,0.167,0.2186,0.292,0.2924,0.2391
D15,T6_hydro,10,-0.0188,-0.0188,-0.0188,-0.0186,-0.0182,-0.0177
D15,T11_hydro,10,-0.0198,-0.0198,-0.0196,-0.0194,-0.019,-0.0184
D15,T23,10,-0.0268,-0.0268,-0.0268,-0.0267,-0.0265,-0.0264
D15,P8,10,-0.056,-0.056,-0.0557,-0.0556,-0.0551,-0.0541
D15,P24,60,-0.0452,-0.0449,-0.0448,-0.0452,-0.0445,-0.0436
D15,F26_hydro,10,-0.0031,-0.0031,-0.0025,-0.0023,-0.0021,-0.001
D15,W7,120,-0.0159,-0.002,0.0122,0.0123,-0.0157,-0.0159
D15,W10,10,-0.0979,-0.0979,-0.0965,-0.093,-0.0904,-0.0897
D15,T55,120,0.0332,0.0326,0.0327,0.0328,0.0329,0.0332
D15,T1,120,0.0347,0.0335,0.0336,0.034,0.0343,0.0347
D15,T6_avt,120,0.0508,0.0494,0.0495,0.0498,0.0502,0.0508
D15,F7,120,0.0761,0.0739,0.0747,0.0752,0.0756,0.0761
D15,F8,120,0.071,0.0695,0.0701,0.0703,0.0708,0.071
D15,F9_avt,120,0.0049,0.0038,0.0037,0.0038,0.0043,0.0049
D15,F30,120,0.0507,0.0488,0.0487,0.0494,0.05,0.0507
D15,F32,120,0.0582,0.057,0.0569,0.0571,0.0571,0.0582
D15,F34,120,0.0056,0.0048,0.0048,0.0047,0.0049,0.0056
D15,F56,30,-0.0641,-0.0638,-0.0641,-0.0636,-0.0631,-0.063
D15,F57,30,-0.0679,-0.0675,-0.0679,-0.0675,-0.067,-0.0668
D15,F59,120,0.1097,0.1069,0.1074,0.1078,0.1084,0.1097
50%.T,T6_hydro,120,0.021,0.0163,0.0165,0.0174,0.0189,0.021
50%.T,T11_hydro,120,0.0242,0.0192,0.0196,0.0204,0.0219,0.0242
50%.T,T23,10,0.0285,0.0285,0.0284,0.028,0.0275,0.0275
50%.T,P8,120,0.0057,0.004,0.0045,0.0044,0.0037,0.0057
50%.T,P24,120,0.0146,0.0082,0.0103,0.0128,0.0129,0.0146
50%.T,F26_hydro,90,-0.0073,-0.0063,-0.0044,-0.0056,-0.0073,-0.007
50%.T,W7,90,0.0222,0.0144,0.0116,0.0106,0.0222,0.0219
50%.T,W10,10,0.0104,0.0104,0.01,0.0078,0.0062,0.0073
50%.T,T55,10,-0.2813,-0.2813,-0.2767,-0.2702,-0.2642,-0.2554
50%.T,T1,10,-0.2206,-0.2206,-0.2171,-0.2142,-0.2089,-0.1976
50%.T,T6_avt,10,-0.0755,-0.0755,-0.0712,-0.0662,-0.0587,-0.052
50%.T,F7,90,-0.1253,-0.1238,-0.1241,-0.1252,-0.1253,-0.1252
50%.T,F8,10,-0.1144,-0.1144,-0.1135,-0.1133,-0.1128,-0.1122
50%.T,F9_avt,10,-0.0443,-0.0443,-0.0442,-0.044,-0.0438,-0.044
50%.T,F30,120,-0.1171,-0.1146,-0.1148,-0.1142,-0.1161,-0.1171
50%.T,F32,90,-0.1237,-0.1215,-0.1204,-0.1214,-0.1237,-0.1228
50%.T,F34,90,-0.0427,-0.0421,-0.0423,-0.0418,-0.0427,-0.0404
50%.T,F56,60,0.0297,-0.0185,0.0011,0.0297,0.0051,-0.0211
50%.T,F57,60,0.0302,-0.0181,0.0016,0.0302,0.0056,-0.0207
50%.T,F59,10,-0.149,-0.149,-0.1476,-0.1471,-0.1435,-0.1408
