tag,raw_tag,installation,category,description,param_type,unit,formula,norm_mean,norm_std,min_norm,max_norm,p01,p05,p50,p95,p99,is_controlled,controlled_min,controlled_max,controlled_current
T1,T1,AVT,KIP,Температура верха К1. Выход на FIRC0955,T,°C,,126.9803,26.0879,5.5069,307.0,9.3859,119.0778,127.0988,139.3434,240.0,False,,,
F1,F1,24-2000,KIP,Расход бензина c установки,F,т/ч,,3.4694,1.7388,-0.0176,8.8834,-0.0166,-0.0146,3.6455,6.0088,7.8261,False,,,
P2,P2,AVT,KIP,Давление бензиновых паров верха К1,P,кгс/см2,,5.7013,25.9515,-0.0125,307.0,-0.0118,3.314,3.5124,3.9201,4.1475,False,,,
F2,F2,24-2000,KIP,Газовая схема. Расход на линии от ЦК-201,F,т/ч,,89477.8562,19069.2109,0.0,108484.4401,307.0,80167.3492,92930.7656,102991.7945,106169.608,False,,,
F3,F3,AVT,KIP,Расход бензина на орошение К1,F,т/ч,,85.8446,36.2806,13.6884,307.0,25.854,56.3142,79.9353,113.665,251.0,False,,,
P3,P3,24-2000,KIP,Полисеп. Сепаратор С-201. Давление на входе,P,кгс/см2,,3.4637,0.7968,-0.0007,3.8282,0.0013,1.0416,3.6562,3.7857,3.8188,False,,,
P4,P4,AVT,KIP,Давление низа К1 в Е6,P,кгс/см2,,3.8682,6.654,0.1474,4.4028,0.1673,3.5114,3.8023,4.1259,4.3191,False,,,
W4,W4,24-2000,KIP,Блок стабилизации. Массовый расход бензина в колонну К-206,W,т/ч,,2.5992,1.555,0.0,10.0,0.0,0.7056,2.5733,4.7537,10.0,False,,,
F5,F5,AVT,KIP,Расход пара в К1,F,т/ч,,11.2256,202.9792,-166.9689,547.967,-166.6873,-26.3112,-13.6149,163.9367,401.5589,False,,,
T5,T5,24-2000,KIP,Полисеп. Реактор Р-201. Температура ГСС на выходе,T,°C,,354.0598,71.9183,3.7726,388.9793,6.1813,297.2363,369.799,384.3972,388.073,False,,,
T6_avt,T6,AVT,KIP,Температура низ К1,T,°C,,222.4168,37.0162,4.9016,240.0671,7.1808,221.7691,229.1736,235.0855,236.8042,False,,,
T6_hydro,T6,24-2000,KIP,"Поточный анализатор серы в дизельном топливе между коллекторами нагнетания и приёма Н-202/1,2",T,°C,,348.1418,70.4691,4.2913,386.6587,6.3158,291.2753,362.6742,380.2426,385.5293,True,345.0,375.0,360.0
F7,F7,AVT,KIP,Расход обессоленной нефти (3-й ход) (Нефть обессоленная в Т-4/2),F,т/ч,,249.8177,60.791,-0.4112,325.6838,-0.3937,180.8538,265.7222,311.4181,323.0767,True,200.0,310.0,265.0
W7,W7,24-2000,KIP,Блок стабилизации. Поточный анализатор содержания серы в гидроочищенном ДТ,W,т/ч,,0.2592,0.9479,0.0,10.0,0.0,0.1406,0.1728,0.2004,0.239,False,,,
F8,F8,AVT,KIP,Расход обессоленной нефти (1-й ход) (Нефть обессоленная в Т-6/1),F,т/ч,,252.8081,67.1804,-0.4559,352.6543,-0.4395,171.9971,262.6797,333.0025,349.6861,True,190.0,325.0,265.0
P8,P8,24-2000,KIP,Полисеп. Реактор Р-202. Температура гсс на входе,T,°C,,0.1652,0.0476,0.0056,0.2386,0.0067,0.0915,0.1741,0.2206,0.2359,True,0.1,0.23,0.17
F9_avt,F9,AVT,KIP,Расход обессоленной нефти (2-й ход) (Нефть обессоленная в Т-10/2),F,т/ч,,209.7572,63.7632,-0.5182,354.4124,-0.4938,122.6905,209.584,307.0,351.6029,True,160.0,280.0,215.0
F9_hydro,F9,24-2000,KIP,Блок стабилизации. Расход газа поддува на входе в К-201. Массовый расход (АС КУБ),W,т/ч,,209.0766,47.813,-0.2258,307.0,-0.1917,137.7342,218.794,253.7152,307.0,False,,,
D10,D10,AVT,KIP,Плотность. Тр-д подачи обессолен. и обезвожен. Нефти,D,кг/м3,,306.9975,0.4075,307.0,307.0,307.0,307.0,307.0,307.0,307.0,False,,,
W10,W10,24-2000,KIP,Реактор Р-202. Перепад давления.,P,кгс/см2,,2.7639,1.5876,-0.0132,10.0,-0.0126,0.7292,2.7883,4.6695,10.0,False,,,
T11_avt,T11,AVT,KIP,3-е ЦО после Т-46,T,°C,,66.5122,31.2951,8.8535,307.0,13.7529,38.1948,64.9655,88.948,307.0,False,,,
T11_hydro,T11,24-2000,KIP,Расход сырья на установку (массовый),T,°C,,348.846,70.4644,4.3031,383.9754,6.3726,299.9417,363.6248,378.9087,382.9059,True,350.0,378.0,365.0
